state,age_group,disability_type,support_class,participant_count,average_support_budget,utilisation_rate,active_provider_count,payment_amount,participant_to_provider_ratio,utilisation_gap,payment_per_participant,access_gap_score,access_risk
ACT,65+,Down Syndrome,Unknown,8,0,50,68.0,0.0,0.11764705882352941,50,0.0,0.3995755517826825,Low Risk
ACT,65+,Hearing Impairment,Unknown,8,0,50,12.0,0.0,0.6666666666666666,50,0.0,0.5460738539898132,Medium Risk
ACT,65+,Intellectual Disability,Unknown,8,0,50,168.0,0.0,0.047619047619047616,50,0.0,0.3334889643463497,Low Risk
ACT,65+,Multiple Sclerosis,Unknown,8,0,50,74.0,0.0,0.10810810810810811,50,0.0,0.394418505942275,Low Risk
ACT,65+,Other,Unknown,8,0,50,58.0,0.0,0.13793103448275862,50,0.0,0.4133276740237691,Low Risk
ACT,65+,Other Neurological,Unknown,8,0,50,207.0,0.0,0.03864734299516908,50,0.0,0.3218378607809847,Low Risk
ACT,65+,Other Physical,Unknown,8,0,50,102.0,0.0,0.0784313725490196,50,0.0,0.36767826825127337,Low Risk
ACT,65+,Psychosocial disability,Unknown,8,0,50,246.0,0.0,0.032520325203252036,50,0.0,0.31343378607809846,Low Risk
ACT,65+,Spinal Cord Injury,Unknown,8,0,50,24.0,0.0,0.3333333333333333,50,0.0,0.48877334465195243,Medium Risk
ACT,65+,Stroke,Unknown,8,0,50,110.0,0.0,0.07272727272727272,50,0.0,0.36233022071307297,Low Risk
ACT,65+,Visual Impairment,Unknown,8,0,50,10.0,0.0,0.8,50,0.0,0.5579159592529711,Medium Risk
ACT,9 to 14,ABI,Unknown,8,0,50,4.0,0.0,2.0,50,0.0,0.622474533106961,High Risk
ACT,9 to 14,Autism,Unknown,8,0,50,252.0,0.0,0.031746031746031744,50,0.0,0.3119057724957555,Low Risk
ACT,9 to 14,Cerebral Palsy,Unknown,8,0,50,20.0,0.0,0.4,50,0.0,0.5067275042444821,Medium Risk
ACT,9 to 14,Developmental delay,Unknown,8,0,50,16.0,0.0,0.5,50,0.0,0.5223896434634975,Medium Risk
ACT,9 to 14,Down Syndrome,Unknown,8,0,50,20.0,0.0,0.4,50,0.0,0.5067275042444821,Medium Risk
ACT,9 to 14,DsbltyGrp_Missing,Unknown,8,0,50,1.0,0.0,8.0,50,0.0,0.6941001697792869,High Risk
